"MS_NR";"LGD_NR";"M_NAME1";"BAUJAHR";"FKTFAEHG";"ANZ_ANALYSEN";"BEGINN";"ENDE";"Chem_ Mon_ operativ";"Chem_ Mon_tiefeGWK";"Chem_ Mon_ueberblick";"EUA_MN_alt_ bis_2015";"EUA_MN_ab_2015";"EUA_TeilMN_LW";"EU_NO3_MN_alt_bis_2015"
"10L60012011";"8221";"BORNHÖVED AM ACKERHORST";"1996";"voll funktionsfähig";11;1996;2013;"ja";;"ja";;;;
"10L56023008";"8282";"HEIDGRABEN SCHLANGENTWIETE";"1999";"voll funktionsfähig";22;2000;2015;"ja";;"ja";;"ja";"ja";
"10L61081004";"8358";"OLDENBORSTEL F1";"2002";"voll funktionsfähig";10;2003;2013;"ja";;"ja";;;;
"10L61049014";"8373";"KELLINGHUSEN SCHÄFERKATE F1";"2002";"voll funktionsfähig";13;2005;2015;"ja";;"ja";;;;
"10L61108002";"8393";"WARRINGHOLZ GROSSES HOLZ F1";"2003";"voll funktionsfähig";12;2005;2015;"ja";;"ja";;;;
"10L61103002";"8439";"STÖRKATHEN";"2004";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;"ja";"ja";
"10L60007003";"8441";"BARK";"2004";"voll funktionsfähig";12;2005;2015;"ja";;"ja";;;;
"10L61112006";"8442";"WILLENSCHAREN OST F1";"2004";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L61116003";"8443";"WRIST F1";"2004";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L60076003";"8445";"SETH HATKAMP F1";"2004";"voll funktionsfähig";10;2006;2014;"ja";;"ja";;;;
"10L60075005";"8475";"TRAVENHORST F1";"2004";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L61043001";"8500";"HOLSTENNIENDORF ";"2005";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L61077003";"8501";"NORTORF SCHOTTENER WEG ";"2005";"voll funktionsfähig";5;2005;2014;;;"ja";;;;
"10L61118001";"8502";"GR. KOLLMAR SUSHÖRN ";"2005";"voll funktionsfähig";5;2005;2014;;;"ja";;;;
"10L61117001";"8503";"WULFSMOOR FISCHERSTIEG";"2005";"voll funktionsfähig";12;2005;2015;"ja";;"ja";;"ja";"ja";
"10L60009003";"8504";"BIMÖHLEN HAUPTSTR";"2005";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L60052001";"8505";"LATENDORF BÖRNHOF F1";"2005";"voll funktionsfähig";12;2005;2015;"ja";;"ja";;;;
"10L60075011";"8506";"NEUENRADE";"2005";"voll funktionsfähig";11;2005;2015;"ja";;"ja";;;;
"10L60014029";"8553";"BOCKHORN FORSTHAUS F3";"2006";"voll funktionsfähig";3;2006;2012;;"ja";;;;;
"10-60008001";"8566";"BEBENSEE B 8";"1987";"voll funktionsfähig";15;2000;2015;"ja";;"ja";;;;
"10-60030001";"8567";"GR. RÖNNAU";"2001";"voll funktionsfähig";5;2005;2009;"ja";;"ja";;;;
"10L60080005";"8568";"STOCKSEE NORD";"1995";"voll funktionsfähig";9;2007;2015;"ja";;"ja";;;;
"10L60030001";"8574";"GR. RÖNNAU TRAVEHOF";"2009";"voll funktionsfähig";6;2010;2015;"ja";;"ja";;;;
"10L60068008";"8576";"TRAPPENKAMP F1A";"2009";"voll funktionsfähig";6;2010;2015;"ja";;"ja";;;;
"10L56001017";"8594";"APPEN UNTERGLINDER WEG";"2012";"voll funktionsfähig";4;2012;2015;"ja";;"ja";;;;
"10L60028002";"8595";"GR. KUMMERFELD STÖRBROOK";"2012";"voll funktionsfähig";4;2012;2015;"ja";;"ja";;;;
"10L61040006";"8596";"HOHENASPE ROLLOH";"2012";"voll funktionsfähig";4;2012;2015;"ja";;"ja";;;;
"10L61066007";"8597";"LOOFT TEICHKATE";"2012";"voll funktionsfähig";4;2012;2015;"ja";;"ja";;;;
"10L60012016";"8605";"BORNHÖVED AM ACKERHORST F1A";"2014";"voll funktionsfähig";2;2014;2015;"ja";;"ja";;;;
"10L61081007";"8606";"OLDENBORSTEL F1A";"2014";"voll funktionsfähig";2;2014;2015;"ja";;"ja";;;;
"10L60076004";"8607";"SETH HATKAMP F1A";"2015";"voll funktionsfähig";1;2015;2015;"ja";;"ja";;;;
